track_name,artists,album,release_date,popularity,duration_ms,explicit,id,type,track_number
Swagon - Ralf Remix,"Detlef, Ossey James, Ralf",Swagon (Remixes),2024-05-31,40,167244,False,5fd4i7Akq5IqqwxsodoPtX,track,1
Faz o Sinalzinho RMX,"Dani Masi, Santos Garcia, DJ Zigão, Mc Th, Mc Menor Thalis",Faz o Sinalzinho RMX,2024-03-21,17,169687,False,5xc0N7YvxcWP5WqBS6bAaO,track,1
PRETTY GIRLS - Vlado Remix,"Frenna, Vlado",PRETTY GIRLS REMIX PACK,2024-04-26,37,161132,False,2X3KDxiGCXlVI9JlWXjUBd,track,3
Buscando Money,"TWENTY SIX, Tayson Kryss",Buscando Money,2024-02-23,72,150000,False,6vsKOJPjdxlYgRs8McgtCQ,track,1
Format It - Ron Costa Remix,"Hollen, Gonzalez, Gonzalo (Spain), Ron Costa",Snatch033,2012-10-22,24,344616,False,5bt2nTSpGFD8SKZcapIuvW,track,2
Como Las Flores - Original Mix,"Dani Masi, Groove Street",Como Las Flores,2022-12-20,30,188571,False,0ZBAX45cs9g5nOhLWLcUFd,track,1
Everybody's Got to Learn Sometime,Martin Ikin,Everybody's Got to Learn Sometime,2024-09-27,50,193846,False,50ixUxOy4WLhdcUITYOyXo,track,1
Takoflow,"Freenzy Music, Mosby, Ric Waves, Jhonny Weezy",Takoflow,2023-05-05,36,342325,False,4lFpu6vEkD4SXvSV2m3SBU,track,1
Devoted (feat. Byron Stingily),"Martin Ikin, Byron Stingily",Devoted (feat. Byron Stingily),2021-12-03,50,203149,False,34A4aZQ0NlBTXlcNP0oIg9,track,1
Mexe Mexe (feat. Mc Gw),"Gordo, Malifoo, Mc Gw",NO HAY VERANO SIN GORDO,2024-12-13,43,216000,True,2fQpm5e11TFDxVWZFufRYd,track,3
Afters,Damelo,Afters,2023-05-26,21,219692,False,1N3YbdM8HfuaTQ1nIhLqic,track,1
Oscill8,Martin Ikin,Oscill8,2023-03-03,37,204374,False,31Z3AuRnaj2ZLgZCWTqbLK,track,1
La Zarzamora - Dub Radio Mix,"Dani Masi, Santos Garcia",La Zarzamora,2022-05-27,12,148124,False,4ivJtKbQe84xDhPZShPk4I,track,1
Tocate,"Javi Colina, Santos Garcia",Teke Teke,2024-02-16,6,165000,False,44brhebd4FUuu68YbV3X89,track,2
GALLINAZO,"Javi Colina, Groove Street",GALLINAZO,2024-05-10,23,338500,False,6wWD547h8j5BtPisIKaLMe,track,1
Aguardiente,"Dario Nunez, Javi Colina",Aguardiente,2019-03-25,24,241972,False,6B1ywsmyW6H9UzHAhRIdSi,track,1
Morumbi - Original Mix,"Dani Masi, Santos Garcia",Morumbi,2020-10-02,1,329032,False,1rWMwFvEqAEXrCpRtEj3cK,track,1
PAPU PAPU - Original Mix,Javi Colina,PAPU PAPU (Original Mix),2024-10-04,1,356000,False,7tul0ZS36WFYjVDVtRYowQ,track,1
Locolina,Javi Colina,Locolina,2024-03-04,1,304761,False,1u5a4Fo5834fbkYGvw0rgE,track,1
Leki Leki,"Dani Masi, Andrea Satta, Juan Galvis",Leki Leki,2024-06-14,8,129373,False,3KEBpXsNAWGg4K71P8vhch,track,1
